Keyword Searched,App ID,App Name,Developer,Rating,Installs,Price,Genre,Summary,Content Rating,App URL
inhaler tracker,com.bloodpressure.health.healthtracker,Health Tracker: BP Monitor App,HealthTracker Apps,4.32,"10,000,000+",,Health & Fitness,,,
inhaler tracker,com.filavision.brt,Poker Bankroll Tracker,Pixelnomads Ltd,4.43,"100,000+",,Productivity,,,
inhaler tracker,com.timskiy.pregnancy,Pregnancy Tracker & Day by Day,Timskiy,4.828877,"1,000,000+",,Parenting,,,
peak flow,,Peak Flow,Ben Hills,4.535714,"50,000+",,Health & Fitness,,,
peak flow,com.brainbow.peak.app,Peak – Brain Games & Training,Synaptic Labs,4.248629,"10,000,000+",,Education,,,
peak flow,com.loomgames.pixelflow,Pixel Flow!,Loom Games A.Ş.,4.197802,"1,000,000+",,Puzzle,,,
peak flow,fi.polar.polarflow,Polar Flow,Polar Electro,2.9789474,"5,000,000+",,Health & Fitness,,,
peak flow,com.alltrails.alltrails,"AllTrails: Hike, Bike & Run","AllTrails, LLC",4.6448655,"10,000,000+",,Health & Fitness,,,
peak flow,net.peakgames.match,Match Factory!,Peak,4.6542215,"10,000,000+",,Puzzle,,,
peak flow,com.peaksware.trainingpeaks,TrainingPeaks,TrainingPeaks,4.182648,"1,000,000+",,Health & Fitness,,,
peak flow,com.whatsapp,WhatsApp Messenger,WhatsApp LLC,4.4072733,"10,000,000,000+",,Communication,,,
peak flow,org.peakfinder.area.alps,PeakFinder,Fabio Soldati,4.38,"500,000+",,Travel & Local,,,
peak flow,com.hipsterwhale.piffle,Piffle,HIPSTER WHALE,4.484794,"1,000,000+",,Arcade,,,
peak flow,com.bosch.ebike.onebikeapp,eBike Flow,Robert Bosch GmbH,4.544554,"1,000,000+",,Health & Fitness,,,
peak flow,tips.routes.peakvisor,PeakVisor - 3D Maps & Peaks ID,Routes Software SRL,3.7682927,"50,000+",,Travel & Local,,,
peak flow,com.mwm.flow,Flow : Music Therapy,MWM - AI Music and Creative Apps,4.46,"100,000+",,Health & Fitness,,,
peak flow,com.lime.mylime.android,My Flow Self Care,Cable & Wireless Communications,4.4027147,"1,000,000+",,Tools,,,
peak flow,com.innerpeak.app,Inner Peak AI,Inner Peak AI,0.0,100+,,Health & Fitness,,,
peak flow,com.flow_app,FLOW Speak,New Voice Learning,4.7894735,"10,000+",,Education,,,
asthma management,com.saniushealth.asthmatec,asthmatec,Sanius,,50+,,Medical,,,
asthma log,com.vaaley.lifetrack,LifeTrack: Build Discipline,Vaaley Apps,0.0,"50,000+",,Productivity,,,
asthma log,com.sleep.journal,Offline Sleep Journal,Quanlovety,0.0,"10,000+",,Lifestyle,,,
asthma log,com.pulmo,Pulmo: Improve Lung Health,Qwaath,0.0,500+,,Health & Fitness,,,
asthma log,com.hearty.me,"Hearty Journal - Diary, Notes",Hearty Creative Inc.,4.351852,"100,000+",,Personalization,,,
allergy induced asthma,com.mcneil.zyrtec.allergycast.activity,ZYRTEC® AllergyCast®,Kenvue Inc.,3.828125,"100,000+",,Health & Fitness,,,
allergy induced asthma,sakomm.com.AllergyPass,Food Allergy Card,Alphadjo Sako,0.0,"5,000+",,Food & Drink,,,
allergy induced asthma,com.ambee.allertrack,AllerTrack: Allergy monitor,Datair Technology Pvt Ltd,,100+,,Weather,,,
allergy induced asthma,com.codecandy.androidapp.fooddiary,Food Allergy & Symptom Tracker,CodeCandy Studio,3.488372,"10,000+",,Health & Fitness,,,
allergy induced asthma,uk.co.allergymenu.www.allergymenu,Allergy Menu,Allergy Menu,0.0,"1,000+",,Food & Drink,,,
allergy induced asthma,com.gsy.scallergy,Food Allergy Scanner - Bokha,Alexandre Grisey,4.4313726,"1,000+",,Food & Drink,,,
allergy induced asthma,me.klarify.klara,klarify: Pollen & Allergy App,ALK Abelló A/S,3.87,"500,000+",,Health & Fitness,,,
allergy induced asthma,com.toledoallergy.App1,Allergy Pollen Count,"Dr. Safadi & Associates, Inc.",3.25,"10,000+",,Health & Fitness,,,
allergy induced asthma,com.tpsproduction.allergymonitor,AllergyMonitor,TPS Production S.r.l.,,"5,000+",,Medical,,,
allergy induced asthma,org.aerobiology.allergySufferersV2,Allergy Sufferers,Aerobiology Research,,500+,,Weather,,,
allergy induced asthma,com.likesby.theskinallergypatientapp,The Skin Allergy Patient App,LikesBy Ventures,,10+,,Medical,,,
allergy induced asthma,appinventor.ai_apps_rsn.Allergy_Finder,ENTina - Allergy Finder,Entina Technologies,,100+,,Medical,,,
allergy induced asthma,com.fig,Fig: Food Scanner & Discovery,Fig - Food Is Good,4.531191,"500,000+",,Health & Fitness,,,
asthma symptoms,com.imedicalapps.pediatricasthmascore,Pediatric Asthma Score,iMedical Apps,,500+,,Medical,,,
asthma symptoms,com.mlg.severeasthma,Moderate to Severe Asthma AR,MedLearning2017,,50+,,Health & Fitness,,,
asthma monitoring app,com.kata.medicaid,Kata Asthma,VisionHealth GmbH,,1+,,Health & Fitness,,,
asthma action plan,com.rubylogic.actionplan_pulse,Action Plan Pulse,Ruby Logic,,"1,000+",,Business,,,
asthma action plan,com.spotlightsix.zentimerlite2,Insight Timer - Meditation App,Insight Network Inc,4.725926,"10,000,000+",,Health & Fitness,,,
asthma action plan,com.airvisual,IQAir AirVisual | Air Quality,IQAir AG,4.721849,"5,000,000+",,Weather,,,
asthma action plan,com.possiblyviable.action_plan,Action Plans,Fawaz Joseph,2.0,"1,000+",,Productivity,,,
asthma action plan,com.mystrength.cross.MyStrength,myStrength by Teladoc Health,"Teladoc, Inc",2.64,"100,000+",,Health & Fitness,,,
