Keyword Searched,App Name,App ID,Seller,Price,Average Rating,Rating Count,Genre,App URL,Description
asthma,ASTHMA,1179637672,daren taylor,Free,4.5,4,Health & Fitness,https://apps.apple.com/us/app/asthma/id1179637672?uo=4,"For anyone with asthma this app is a godsend. 

Daily reminder, reminds you to take your preventative each day.

Leave home reminder, reminds you to take you inhaler when you leave home.

Emergency assistance guides you through an episode (asthma attack) to use correct medication and know when to call for the emergency services."
asthma,Allergy Plus by Pollen.com,1556701665,IQVIA Inc.,Free,4.77332,20263,Health & Fitness,https://apps.apple.com/us/app/allergy-plus-by-pollen-com/id1556701665?uo=4,"Allergy Plus is designed to improve how you understand and manage your allergies. Based on Pollen.com, an industry leading allergy forecasting website for the last 20 years, Allergy Plus provides location-specific, real time allergy information at your fingertips.
 
·         Get the latest allergy, air quality and weather forecasts across multiple locations
·         Receive notifications on forecasted allergy level changes in as many locations as you need
·         See a 5-day allergy and weather forecast side by side
·         Share forecasts easily to your friends and family
·         Review in-depth information on impactful allergens in your area
·         Completely synced with Pollen.com for the most accurate and up-to-date allergy information available
 
Allergy Plus is a free app intended for your benefit. Currently for use in the continental US only.

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/"
asthma,ZYRTEC® ALLERGYCAST®,320298020,"McNeil-PPC, Inc",Free,4.09091,473,Health & Fitness,https://apps.apple.com/us/app/zyrtec-allergycast/id320298020?uo=4,"The ZYRTEC® AllergyCast® app is your go-to allergy tracker and pollen forecast tool, eliminating the guesswork in managing allergies. Using local data like pollen count, air quality and weather, it provides a personalized allergy impact score, predicting how your seasonal allergies will make you feel each day. Think of it as a ""real-feel"" forecast for your allergies!

Wondering about today's pollen count? Get that and more at your fingertips with AllergyCast®. Beyond just pollen counts, the app offers personalized daily symptom severity predictions. Sign in, track your symptoms, and unlock personalized predictions that get more accurate over time.

When you start using the app, you'll receive a local pollen forecast and a generalized symptom severity prediction. Consistently log your symptoms for more personalized predictions. Each day you’ll receive daily allergy symptom severity predictions and multi-day forecasts, factoring in your tracked symptoms and local weather.

Did AllergyCast® predict a ""Mild"" day? Enjoy less sniffling. ""Severe"" symptoms predicted? You may want to be prepared. 

AllergyCast® App features include:
-	Multi-day forecasts for symptom severity predictions, pollen, weather, and air quality based on your current location.
-	Interactive pollen & air quality maps to see the pollen and air quality levels along with the top allergens in your area.
-	An enhanced allergy symptom tracker & personalized Allergy Profile.
-	Personalized allergy insights to learn which specific pollens may be triggers for your outdoor allergies.
-	Trends based on your tracked symptoms, including a personalized Allergy Profile.
-	Exclusive savings, coupons & offers for ZYRTEC® products."
asthma,Blood Oxygen App,1541992656,"AboutMe Apps, Inc.",Free,4.59622,29647,Medical,https://apps.apple.com/us/app/blood-oxygen-app/id1541992656?uo=4,"Monitor your blood oxygen level and heart rate effortlessly with our app and sync your Apple Watch to get alerts about low levels.*

Are you worried about your oxygen levels dropping or wondering how your activities affect your blood oxygen? Our app makes it easy to track these vital signs wherever you go.

Track and log your vital signs to share with your doctor later, or stay informed about your cardiovascular health with curated articles—all in one app.



But hang on, there's more:

• Take an oxygen test effortlessly, and conveniently record and monitor your data.

• Use your phone’s camera to estimate your heart rate and then easily log your data afterward.

• Sync and store your data in Apple Health or retrieve your blood oxygen and heart rate readings from Apple Health.

• Log and easily export your blood oxygen and heart rate data into PDF to share with your doctor.

• Regain your calm after a stressful experience by practicing box breathing, all within the app!

• Receive sleep reports to assist you in achieving your sleep goals. (requires an Apple Watch Series 3 or later with watchOS 8)



*Please be aware that to receive push notifications regarding changes in your blood oxygen level or heart rate, you will need an external device such as a pulse oximeter or a smartwatch.

Blood Oxygen App is free to download and utilize. However, users can opt for a subscription to access additional features. Your subscription will automatically renew and you’ll be billed based on the plan you choose. You can cancel your subscription at any time in the App Store.

Disclaimer: For wellness use only. The App is intended to improve your awareness of general wellness. The App can't be used for diagnostics or medical purposes. The App does not diagnose, treat, mitigate, or prevent any disease, symptom, disorder, or abnormal physical state. Always seek a health care professional or emergency services if you believe you may have a medical issue.

Terms of use: https://aboutmeapps.com/terms-of-use/

Privacy policy: https://aboutmeapps.com/privacy-policy/"
asthma,Asthma Tracker - Astira,6743555558,Digital Therapeutics,Free,3,2,Health & Fitness,https://apps.apple.com/us/app/asthma-tracker-astira/id6743555558?uo=4,"Asthma affects more than your lungs. It affects your sleep, focus, energy, and daily routines. You may deal with wheezing, coughing, chest tightness, or shortness of breath with no clear warning. Some days are fine. Other days feel like you are trying to breathe through a straw. This app is built to help you take control.

This asthma tracker helps you monitor symptoms, medication use, triggers, and peak flow readings in one easy-to-use system. Whether you have mild asthma or are managing frequent flare-ups, this app gives you the clarity and consistency needed to manage your condition with more confidence.

SYMPTOM TRACKING  
Log daily symptoms like chest tightness, shortness of breath, coughing, wheezing, and fatigue. Track morning and evening separately if needed. Record symptom severity, duration, and frequency so you can see how your condition changes over time.

INHALER AND MEDICATION REMINDERS  
Set reminders for controller medications, rescue inhalers, steroids, or other asthma treatments. Stay consistent with timing and dosage. Log each use and mark if taken early, on time, or missed. Refill reminders help prevent running out at the wrong moment.

PEAK FLOW AND LUNG MONITORING  
Track your peak expiratory flow rate (PEFR) over time using a manual input or connected device. Record daily readings, track variability, and flag low zones. Over time, spot when your lung function is declining and respond before a full flare-up begins.

IDENTIFY TRIGGERS  
Log known or suspected triggers like dust, pollen, smoke, mold, exercise, stress, cold air, or illness. Track environmental data or weather patterns that may affect your breathing. Use custom notes to describe where symptoms occurred and what may have caused them.

SEE WHAT’S WORKING  
Compare medication use and peak flow with symptom trends. Use visual charts to understand how well your current plan is working. Share this data with your doctor, nurse, or care team to make more informed decisions together.

APPLE HEALTH INTEGRATION  
Sync sleep, step count, heart rate, and other data from Apple Health to understand how asthma is affecting your overall wellbeing. Review how flare-ups relate to sleep loss or stress to help reduce future risk.

PREP FOR YOUR NEXT APPOINTMENT  
Export logs as PDF or CSV to bring to appointments. Give your provider a detailed, time-stamped history of symptoms, inhaler use, and peak flow readings. No more guessing or relying on memory.

WHO THIS IS FOR  
- Adults and children managing mild to severe asthma  
- Parents tracking symptoms and meds for their child  
- Teens managing school, sports, and medications  
- Adults tracking work-related or seasonal flare-ups  
- Anyone wanting more insight into their breathing patterns

FEATURES  
- Asthma symptom tracker for wheeze, cough, breathlessness, and fatigue  
- Medication reminder for controller meds, inhalers, and steroids  
- Inhaler use log with time-stamped entries  
- Peak flow tracking and variability charts  
- Trigger and environment log with notes  
- Exportable reports for doctors and specialists  
- Apple Health sync for vitals, sleep, and steps  
- Face ID and passcode lock for privacy  
- Offline mode with auto sync when reconnected  
- Encrypted backup and multiple profile support

You should not have to guess when your next flare-up might happen. You should not have to rely on memory to explain symptoms. You deserve a system that helps you track what matters and respond early.

Download now and set up your first entry in under 3 minutes. Start tracking with clarity and breathe easier every day.

Any insights provided by this app do not constitute medical advice. The app is designed for tracking purposes only and is not intended to diagnose, treat, cure, or prevent any disease or condition. EULA: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/"
asthma,PeakFlow Diary (Asthma),6463603745,Keyber Inc.,Free,4.72414,29,Medical,https://apps.apple.com/us/app/peakflow-diary-asthma/id6463603745?uo=4,"Manage Your Daily Breathing, More Smoothly with 'Peak Flow Diary'!

Breathing health can change subtly every day. 'Peak Flow Diary' is a powerful tool to record your daily peak flow values and control your breathing. With this app, you can finely monitor changes in your respiratory condition.

[App Features]

Daily Records: Easily log your daily peak flow values.
Clear Graphs: View your condition at a glance with clear graphs that support zone display.
Simple Operation: User-friendly and intuitive interface focused on ease of use.
Account Functionality: Worry-free data transfer when switching devices!
Make your breathing management easier and more effective with the 'Peak Flow Diary'. Try it now!"
asthma,Pediatric Asthma Risk Score,1398307845,Cincinnati Children's Hospital Medical Center,Free,5,5,Medical,https://apps.apple.com/us/app/pediatric-asthma-risk-score/id1398307845?uo=4,"The Pediatric Asthma Risk Score (PARS) is the first continuous scoring system for predicting asthma risk in young children.
 
Based on research published in the Journal of Allergy and Clinical Immunology(JACI) PMID:30554722

PARS is superior to the existing Asthma Predictive Index (API) with an 11% increase in sensitivity.
 
By answering just 6 simple questions about eczema, wheezing, race, sensitization status and parental asthma history, families and clinicians are able to determine a child’s personal risk of developing asthma.
 
App Created by Gregory Hill at Cincinnati Children's Hospital Medical Center
 
Title: A Pediatric Asthma Risk Score (PARS) to Better Predict Asthma Development in Young Children

Publication Authors:
Jocelyn M Biagini Myers PhD[1,5], Eric Schauberger DO, PhD[1,2], Hua He MS[3], Lisa J Martin PhD[3,5], John Kroner MS[1], Gregory M Hill BS[1], Patrick H. Ryan PhD[4,5], Grace K LeMasters PhD, MSN[6], David I Bernstein MD, MS[6,7], James E Lockey MD[6], S. Hasan Arshad, DM, FRCP[8], Ramesh Kurukulaaratchy, DM[8], Gurjit K Khurana Hershey MD, PhD[1,5] 

Divisions of [1]Asthma Research, [2]Allergy and Immunology, [3]Human Genetics, [4]Biostatistics and Epidemiology, Cincinnati Children’s Hospital Medical Center, Cincinnati, Ohio, USA. [5]Department of Pediatrics, [6]Department of Environmental Health and [7]Department of Internal Medicine, University of Cincinnati, Cincinnati, Ohio, USA, [8]David Hide Asthma & Allergy Research Centre, St. Mary’s Hospital, Newport, Isle of Wight, UK"
asthma,Smart Asthma: Forecast Asthma,1409692428,Smart Respiratory Products Ltd,Free,4.22222,9,Medical,https://apps.apple.com/us/app/smart-asthma-forecast-asthma/id1409692428?uo=4,"There’s more to life than surviving asthma. Attack Asthma, Predict Asthma and Beat it. 

We re-invented the peak flow meter so asthma patients like you can conveniently manage your symptoms and get on with life. 

Why use Smart Asthma? 

• World’s first AI forecast helps you prepare and prevent attacks 

• The only system using CompEx events to detect your inhalers are not working 

• Conveniently share asthma control data with your nurse/doctor in a few taps 


How it works 

• Personalised reminders to fit your lifestyle, to help give you back control 

• Record Symptoms and Reliever inhaler puffs 

• 3 colour zones tell you when you are getting better or worse 

• The built-in Asthma Action Plan tells you what you need to do 

• Follow the lung function of a loved one when they are not with you 


Smart Peak Flow 

The Smart Asthma app works best with the Smart Peak Flow device that measures your peak flow using light sensor technology and sends it to the app. It works with any smartphone, connects by the audio jack or our Bluetooth Adapter and is more accurate than normal peak flow meters. 

We integrate our application with the health app (HealthKit) to read and track your blows data.

 
The Smart Peak Flow device is officially registered and can be marketed in the following countries as a medical device: 

- Australia 

- Chile 

- Egypt 

- EU 

- Hong Kong 

- India 

- Indonesia 

- Israel 

- Morocco 

- New Zealand 

- Norway 

- Serbia 

- Singapore 

- South Africa 

- Switzerland 

- Taiwan 

- Thailand 

- Turkey 

- Ukraine 

- UK 

- UAE 

 
To get a Smart Peak Flow device, visit www.smartasthma.com. Delivered worldwide within 3 to 5 days. 

The use of the app does not exempt the user from regular medical consultation or empower them to make independent decisions regarding treatment. 

For more information, visit our website (www.smartasthma.com) or email (info@smartasthma.com)

Terms of Use: https://www.apple.com/legal/internet-services/itunes/dev/stdeula/"
asthma,ASTHMAXcel PRO,1500992014,"Montefiore Applications, LLC",Free,4.90909,11,Health & Fitness,https://apps.apple.com/us/app/asthmaxcel-pro/id1500992014?uo=4,"Welcome to ASTHMAXcel PRO! This app has been shown to improve asthma knowledge and asthma control, which means being able to do the things you want to do without asthma getting in the way!  A team of asthma doctors, app developers, and an animation studio made ASTHMAXcel PRO.  

ASTHMAXcel PRO will teach you lots of important information about asthma through several chapters and fun, animated videos. Through your journey you’ll meet Tommy, who is learning how to control his asthma with the help of his Doctor and faces some of the triggers that make asthma worse. Together we will find out key asthma facts and – what’s really important – how to manage asthma. You will learn how your lungs can be affected by asthma, how & when to use different inhalers, how to use a spacer, and how to reduce the triggers in your home that cause asthma attacks.   ASTHMAXcel PRO has fun activities, movies, medication reminders, and messages/tips about how to better control your asthma. This app includes brief surveys about your asthma symptoms and helps you to track how you are feeling. ASTHMAXcel PRO will teach you about asthma in a fun way!
 
Visit our website to learn more about ASTHMAXcel PRO – www.asthmaxcel.net

For more information about permissions, visit http://www.asthmaxcel.net/legal.html and http://www.asthmaxcel.net/privacy.html

Please seek a doctor’s advice in addition to using this app and before making any medical decisions."
asthma,ASTHMAXcel,1250712449,"Montefiore Applications, LLC",Free,4.925,40,Health & Fitness,https://apps.apple.com/us/app/asthmaxcel/id1250712449?uo=4,"ASTHMAXcel is a fun, easy to use, and free app for patients with asthma. The app is available for smartphones and tablets, and has been clinically tested and linked to increased asthma knowledge, improved asthma control and quality of life, and decreased asthma emergency department visits and hospitalizations. ASTHMAXcel has been developed by a team of asthma physicians, software programmers, behavioral scientists, and an animation studio. 

ASTHMAXcel will teach you about asthma through interactive modules/chapters and short, fun animated videos. The program teaches important concepts about asthma and its management. Topics include how airways can be affected in asthma, how/when to use different inhalers, how to use a spacer, and how to reduce environmental triggers in your home.  

The pediatric app, ASTHMA Adventures (available soon!) consists of interactive movies, games, and quizzes to teach children and parents about asthma in a fun, engaging way. 

Download the ASTHMAXcel app then complete the 10 chapters to learn how to better control your asthma. 

Visit our website to learn more about ASTHMAXcel – www.asthmaxcel.net

For more information about permissions, visit http://www.asthmaxcel.net/legal.html and http://www.asthmaxcel.net/privacy.html

Please seek a doctor’s advice in addition to using this app and before making any medical decisions."
